"N","rho","Method","Mean_TPR","SD_TPR","Mean_FPR","SD_FPR","Mean_Bias","Mean_Cov","Mean_N_Sel_Signal","SelRate_X1","SelRate_X2","SelRate_X3","SelRate_X4","SelRate_X5","Bias_X1","Bias_X2","Bias_X3","Bias_X4","Bias_X5"
250,0,"Backward (p-val)",0.9648,0.0762021441087242,0.1058,0.0829452022315933,-0.00167016767623243,0.94525,4.824,0.824,1,1,1,1,-0.0119038150672375,0.00239124547845468,-0.00359047814261003,0.000298191387310499,0.00445401796292019
250,0,"AIC",0.978,0.0626092638506469,0.1764,0.104160669163346,-0.000317404968050705,0.94305,4.89,0.89,1,1,1,1,-0.00548784796383209,0.00271457066564804,-0.00368244456070161,0.000430489714613349,0.00443820730401879
250,0,"BIC",0.9208,0.0986767302716152,0.0229333333333333,0.038873241525302,-0.00740163199370742,0.9435,4.604,0.607,0.997,1,1,1,-0.0403379618334501,0.00212502450943663,-0.00373674675598855,0.000816323018453728,0.00412520109301125
250,0,"LASSO (lambda.min)",0.9872,0.0489750809959367,0.404333333333333,0.21396859661669,-0.0508515851967923,0.94355,4.936,0.936,1,1,1,1,-0.0499181465263702,-0.0494636394422892,-0.0558664376505881,-0.0512865623624942,-0.04772314000222
250,0,"LASSO (lambda.1se)",0.917,0.101790772476494,0.0418,0.0676888929638764,-0.145023355433592,0.945616666666667,4.585,0.595,0.99,1,1,1,-0.126762165562605,-0.148297927168229,-0.154079659911217,-0.149389615551959,-0.146587408973949
250,0,"Elastic Net (lambda.min)",0.9902,0.0431952060514338,0.498,0.205595185964075,-0.0529835421915648,0.94495,4.951,0.951,1,1,1,1,-0.0438894266955585,-0.0471202432339991,-0.0578382976068792,-0.0575010365761459,-0.0585687068452414
250,0,"Elastic Net (lambda.1se)",0.945,0.0897945603200052,0.0780666666666667,0.0921271746293898,-0.149080726426494,0.9448,4.725,0.727,0.998,1,1,1,-0.115397827226963,-0.13837392818425,-0.155457067188452,-0.163348310870509,-0.172826498662298
250,0.35,"Backward (p-val)",0.9388,0.0922120548684556,0.109,0.0845217232401071,-0.00311230169892596,0.9376,4.694,0.699,0.995,1,1,1,-0.0220916068775523,0.00176140232084313,0.00390915985565526,-0.00053906044840286,0.00139859665482702
250,0.35,"AIC",0.9574,0.0819265033548482,0.176466666666667,0.105216852935722,-0.00194435088011463,0.9381,4.787,0.79,0.997,1,1,1,-0.0114458509713632,0.000914683597346929,0.00279862615080019,-0.00208842027026131,9.92070929042804e-05
250,0.35,"BIC",0.8912,0.102043975681923,0.0236666666666667,0.0407348253053739,-0.00594933666154727,0.934616666666667,4.456,0.471,0.985,1,1,1,-0.0574193032818318,0.00571494516379608,0.00930551486993297,0.00561414448278787,0.0070380154575785
250,0.35,"LASSO (lambda.min)",0.9916,0.0401379004315254,0.345866666666667,0.175747364204741,-0.0457297449743375,0.93235,4.958,0.958,1,1,1,1,-0.0422861167716195,-0.0459859969923248,-0.0444739816636949,-0.0488490786715354,-0.0470535507725131
250,0.35,"LASSO (lambda.1se)",0.9628,0.0778602737101676,0.118933333333333,0.0963658176702699,-0.0993791015083201,0.93295,4.814,0.816,0.998,1,1,1,-0.0903737694131388,-0.101181582464524,-0.0996939808867176,-0.103431172657073,-0.102215002120147
250,0.35,"Elastic Net (lambda.min)",0.9948,0.0318429579966116,0.417933333333333,0.183329711493936,-0.0500872364644199,0.93535,4.974,0.974,1,1,1,1,-0.0356219899361582,-0.0442405123776334,-0.048846187767965,-0.0587172789177185,-0.0630102133226245
250,0.35,"Elastic Net (lambda.1se)",0.9868,0.0496812663710198,0.245533333333333,0.116228712278862,-0.110533218312647,0.9305,4.934,0.934,1,1,1,1,-0.0670113570963139,-0.0911571679476857,-0.109760880785408,-0.133013334600952,-0.151723351132874
250,0.7,"Backward (p-val)",0.8772,0.113017401018307,0.1112,0.0840466898116191,-0.00752036425561528,0.938016666666667,4.386,0.482,0.906,0.998,1,1,-0.0404900488268173,-0.00890568948951374,-0.00201142408491482,0.0127983740883406,0.00100696703482882
250,0.7,"AIC",0.9036,0.106575787111325,0.181066666666667,0.102539091942964,-0.00471213855086147,0.9413,4.518,0.568,0.951,0.999,1,1,-0.0261993791572997,-0.00218993484025915,-0.0038623862650666,0.0103282190356248,-0.00163721152730672
250,0.7,"BIC",0.8094,0.107904046649249,0.0276666666666667,0.0426450040937028,-0.0100556365523518,0.925233333333333,4.047,0.26,0.792,0.995,1,1,-0.0861548638652441,-0.0251569274698544,0.0136183940713317,0.0292674257846567,0.0181477887173513
250,0.7,"LASSO (lambda.min)",0.9664,0.074810671943491,0.3526,0.159153010627833,-0.0607970792577505,0.9371,4.832,0.841,0.991,1,1,1,-0.0485939010422773,-0.0620406016033631,-0.0699001433335005,-0.0558974861917781,-0.0675532641178337
250,0.7,"LASSO (lambda.1se)",0.9438,0.0925749973271948,0.198666666666667,0.110561201761244,-0.102981664776907,0.931366666666667,4.719,0.738,0.981,1,1,1,-0.0829655964508112,-0.106091404739054,-0.114229033127889,-0.099816619375304,-0.111805670191476
250,0.7,"Elastic Net (lambda.min)",0.9728,0.0685920175010537,0.409533333333333,0.157736054486941,-0.068452441691291,0.9373,4.864,0.869,0.995,1,1,1,-0.0422949699459072,-0.0611066514032261,-0.0767795150107425,-0.0712306034148085,-0.0908504686817705
250,0.7,"Elastic Net (lambda.1se)",0.9784,0.0621071436897342,0.417866666666667,0.124072373854754,-0.137601169139105,0.9399,4.892,0.893,0.999,1,1,1,-0.0543375667116785,-0.0991099962297082,-0.143843561305739,-0.171618094128901,-0.219096627319496
500,0,"Backward (p-val)",0.9944,0.0330110546594581,0.103466666666667,0.0814531573302182,0.000171421720739918,0.94955,4.972,0.972,1,1,1,1,-0.00255769162604676,0.0018712454846859,-0.0025413019501394,0.0027212226622761,0.00136363403292375
500,0,"AIC",0.9968,0.0251075763543674,0.168066666666667,0.0986519977552688,0.000325090663010291,0.9478,4.984,0.984,1,1,1,1,-0.00166407087150729,0.00184106903882673,-0.00259571374337326,0.00263578079320046,0.00140838809790482
500,0,"BIC",0.9742,0.067073533221822,0.0134,0.0308986741041542,-0.00184798241397111,0.95095,4.871,0.871,1,1,1,1,-0.0125555069078177,0.00202007890407758,-0.00272295567432184,0.00272678741933291,0.00129168418887355
500,0,"LASSO (lambda.min)",0.9994,0.0109434802398396,0.4022,0.211638990200966,-0.035976268754567,0.94465,4.997,0.997,1,1,1,1,-0.0373829649859242,-0.0348308818583562,-0.0390186140405947,-0.033436506920056,-0.035212375967904
500,0,"LASSO (lambda.1se)",0.9618,0.0786571480982304,0.0186666666666667,0.0434114180588996,-0.117843667993143,0.95135,4.809,0.809,1,1,1,1,-0.114396382336332,-0.11812976021792,-0.121938024909039,-0.116078143948761,-0.118676028553663
500,0,"Elastic Net (lambda.min)",0.9998,0.00632455532033676,0.5054,0.198755319451691,-0.0367375910169616,0.94515,4.999,0.999,1,1,1,1,-0.0322069950369513,-0.0326629236922292,-0.0397029507383379,-0.0372132674651817,-0.0419018181521081
500,0,"Elastic Net (lambda.1se)",0.9818,0.0575506044457577,0.0492666666666667,0.0744797400379497,-0.119642822599232,0.9526,4.909,0.909,1,1,1,1,-0.0997772458574622,-0.109641364525822,-0.122966228284343,-0.12699223347607,-0.138837040852464
500,0.35,"Backward (p-val)",0.9858,0.0513906703692509,0.1036,0.0805686606992113,-0.00103717398583599,0.94485,4.929,0.929,1,1,1,1,-0.00379772444340833,0.000724924209902927,-0.00415265934190969,0.000807939656902413,0.00123164998933271
500,0.35,"AIC",0.992,0.0392114465116697,0.167533333333333,0.0991529243821111,-0.000553141104057276,0.94305,4.96,0.96,1,1,1,1,-0.00103203132900673,0.000763432279364169,-0.00417357312368833,0.000467477207699007,0.0012089894453455
500,0.35,"BIC",0.9554,0.0832933237287225,0.0160666666666667,0.0335441448556755,-0.00229958691182728,0.94415,4.777,0.778,0.999,1,1,1,-0.0206141406726099,0.00315060911010634,-0.00145061913234175,0.00336619680912856,0.00405001932658034
500,0.35,"LASSO (lambda.min)",0.9986,0.0166828750015793,0.3534,0.182231487349602,-0.0324064972386607,0.9311,4.993,0.993,1,1,1,1,-0.0308415925467506,-0.0316409199346196,-0.0364524403962282,-0.0318645947795193,-0.0312329385361859
500,0.35,"LASSO (lambda.1se)",0.9908,0.0419179808330162,0.0966666666666667,0.0886759210526177,-0.0787228269261003,0.93685,4.954,0.954,1,1,1,1,-0.0758523037970528,-0.0782783131552974,-0.0832288949766961,-0.0783708063824975,-0.0778838163189579
500,0.35,"Elastic Net (lambda.min)",0.9988,0.0154531161517281,0.426066666666667,0.18115067396449,-0.0355864940793664,0.9321,4.994,0.994,1,1,1,1,-0.0260989915154695,-0.0308277422978195,-0.0395080850465868,-0.0391005015679897,-0.0423971499689664
500,0.35,"Elastic Net (lambda.1se)",0.998,0.0199097060851334,0.237466666666667,0.12017404795463,-0.0880465989852888,0.9263,4.99,0.99,1,1,1,1,-0.0533631124288129,-0.0708904092045324,-0.0918272935058315,-0.104114419684197,-0.12003776010307
500,0.7,"Backward (p-val)",0.9342,0.0940170154769827,0.107466666666667,0.0838261968344035,-0.00343264758290357,0.93995,4.671,0.675,0.996,1,1,1,-0.0275329163233831,0.00468763161383288,0.00182791601914794,0.00118702923386904,0.00266710154201533
500,0.7,"AIC",0.9506,0.0862965068069796,0.1674,0.101548000673993,-0.00293620368164951,0.94455,4.753,0.755,0.998,1,1,1,-0.0181119099009645,0.00319622715743553,-6.81976498612087e-05,-0.00058624091230722,0.000889102897449871
500,0.7,"BIC",0.8722,0.0985742201433867,0.0188666666666667,0.0360988891305969,-0.00573811849196988,0.929083333333333,4.361,0.379,0.982,1,1,1,-0.076337505553088,0.0116547144304075,0.011859723240931,0.0110758938394296,0.0130565815824705
500,0.7,"LASSO (lambda.min)",0.9894,0.0448291160926651,0.3616,0.169321189520911,-0.0429512360313974,0.9302,4.947,0.947,1,1,1,1,-0.0429070439110153,-0.0405129256789905,-0.0439913306016338,-0.0444302504984686,-0.0429146294668786
500,0.7,"LASSO (lambda.1se)",0.9748,0.0664030825291218,0.188133333333333,0.112133752380215,-0.0784109662669993,0.92565,4.874,0.875,0.999,1,1,1,-0.0756363560747984,-0.0761732154524176,-0.080314955395296,-0.0809061461304071,-0.0790241582820774
500,0.7,"Elastic Net (lambda.min)",0.9924,0.038258380829613,0.4158,0.165394961443959,-0.0487384022877884,0.933,4.962,0.962,1,1,1,1,-0.0377577116217598,-0.0407169523881798,-0.0496610835042126,-0.0556786451119267,-0.0598776188128632
500,0.7,"Elastic Net (lambda.1se)",0.9952,0.03062511874096,0.4386,0.131210308413336,-0.11055290114619,0.9265,4.976,0.976,1,1,1,1,-0.0466855596374598,-0.0758475419030236,-0.111292500290709,-0.143881267110738,-0.175057636789019
